source_id,result_set_id,benchmark,table_label,page,model,model_category,size,accuracy_all,accuracy_all_sd,accuracy_low,accuracy_low_sd,accuracy_medium,accuracy_medium_sd,accuracy_high,accuracy_high_sd,consistency_all,consistency_low,consistency_medium,consistency_high
src-hummusqa-acl-2026,hummusqa-table-1,HumMusQA,Table 1,4,qwen2.5-omni-7b,Audio Language Model,7B,64.3,2.9,73.9,3.1,58.1,2.5,53.2,3.9,66.6,70.5,61.3,67.9
src-hummusqa-acl-2026,hummusqa-table-1,HumMusQA,Table 1,4,music-flamingo,Audio Language Model,-,58.5,1.6,60.9,2.1,58.1,1.8,53.2,4.1,39.1,41.7,38.7,30.2
src-hummusqa-acl-2026,hummusqa-table-1,HumMusQA,Table 1,4,audio-flamingo-3,Audio Language Model,-,58.1,3.2,62.7,3.3,54.7,3.8,54.1,1.5,55.0,55.4,56.5,50.9
src-hummusqa-acl-2026,hummusqa-table-1,HumMusQA,Table 1,4,gpt-audio,Audio Language Model,-,57.7,1.5,65.3,3.9,55.1,1.9,43.6,1.8,45.6,45.3,43.5,47.2
src-hummusqa-acl-2026,hummusqa-table-1,HumMusQA,Table 1,4,gemini-2.5-flash,Audio Language Model,-,55.9,1.2,64.4,1.5,48.4,3.6,50.5,2.7,35.0,40.3,31.5,28.3
src-hummusqa-acl-2026,hummusqa-table-1,HumMusQA,Table 1,4,audsemthinker,Audio Language Model,-,54.8,2.2,61.3,1.5,49.0,3.7,51.4,3.5,42.5,44.6,41.1,39.6
src-hummusqa-acl-2026,hummusqa-table-1,HumMusQA,Table 1,4,gemini-2.5-flash (text-only),Text-only Model,-,42.7,0.9,44.4,0.5,37.6,1.8,50.0,2.0,48.8,54.0,46.0,43.4
